Device_ID,W,L,length,width,N,nm,hop,SOC,E,energy,Transmission,Average-LDOS,M(E)
W:14_L:5_NM:4_T:-2.6,14,5,6.39,8.60829251361732,70,4,-2.6,0.000001,-2.5,-0.961538461538462,9.46768991049206,0.172552761286158,20
W:14_L:5_NM:4_T:-2.6,14,5,6.39,8.60829251361732,70,4,-2.6,0.000001,-2.487,-0.956538461538462,9.46466666358044,0.17068140567751,20
W:14_L:5_NM:4_T:-2.6,14,5,6.39,8.60829251361732,70,4,-2.6,0.000001,-2.475,-0.951923076923077,9.45876695060058,0.169660861129678,20
W:14_L:5_NM:4_T:-2.6,14,5,6.39,8.60829251361732,70,4,-2.6,0.000001,-2.462,-0.946923076923077,9.45002796499062,0.169001544989677,20
W:14_L:5_NM:4_T:-2.6,14,5,6.39,8.60829251361732,70,4,-2.6,0.000001,-2.45,-0.942307692307692,9.43896014756507,0.168657019909259,20
W:14_L:5_NM:4_T:-2.6,14,5,6.39,8.60829251361732,70,4,-2.6,0.000001,-2.437,-0.937307692307692,9.42573476123724,0.168517643858459,20
W:14_L:5_NM:4_T:-2.6,14,5,6.39,8.60829251361732,70,4,-2.6,0.000001,-2.425,-0.932692307692308,9.41159430224808,0.168561957099462,20
W:14_L:5_NM:4_T:-2.6,14,5,6.39,8.60829251361732,70,4,-2.6,0.000001,-2.412,-0.927692307692308,9.39449079456698,0.168775236270068,20
W:14_L:5_NM:4_T:-2.6,14,5,6.39,8.60829251361732,70,4,-2.6,0.000001,-2.4,-0.923076923076923,9.3768298786264,0.169113614005399,20
W:14_L:5_NM:4_T:-2.6,14,5,6.39,8.60829251361732,70,4,-2.6,0.000001,-2.387,-0.918076923076923,9.35584603617484,0.169633865155696,20
W:14_L:5_NM:4_T:-2.6,14,5,6.39,8.60829251361732,70,4,-2.6,0.000001,-2.375,-0.913461538461538,9.33489197643119,0.170261275171674,20
W:14_L:5_NM:4_T:-2.6,14,5,6.39,8.60829251361732,70,4,-2.6,0.000001,-2.362,-0.908461538461538,9.31035360096698,0.171104802403051,20
